title,authors,year,venue,doi,url,citation_count,semantic_scholar_id,fields_of_study,s2_fields_of_study
An AI Race for Strategic Advantage: Rhetoric and Risks,"S. Cave, Seán S. ÓhÉigeartaigh",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278780,https://www.semanticscholar.org/paper/92f092ef414d24b8facc6e2114c07abe4e6bc16d,122,92f092ef414d24b8facc6e2114c07abe4e6bc16d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Always Lurking: Understanding and Mitigating Bias in Online Human Trafficking Detection,"K. Hundman, Thamme Gowda, M. Kejriwal, Benedikt Boecking",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278782,https://www.semanticscholar.org/paper/bff412b52c71fb5e77d45ebbf8558d4b9121884d,22,bff412b52c71fb5e77d45ebbf8558d4b9121884d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]"
Paradoxes in Fair Computer-Aided Decision Making,"Andrew Morgan, R. Pass",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314242,https://www.semanticscholar.org/paper/d03661af943188c7bb73ef2c0426b81ac20ff241,9,d03661af943188c7bb73ef2c0426b81ac20ff241,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}]"
Non-Discriminatory Machine Learning through Convex Fairness Criteria,"Naman Goel, Mohammad Yaghini, B. Faltings",2018,AAAI Conference on Artificial Intelligence,10.1145/3278721.3278722,https://www.semanticscholar.org/paper/7a2b6c19f86fa72742beca534ea962edfffd689b,100,7a2b6c19f86fa72742beca534ea962edfffd689b,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Preferences and Ethical Principles in Decision Making,"Andrea Loreggia, Nicholas Mattei, F. Rossi, K. Venable",2018,AAAI Spring Symposia,10.1145/3278721.3278723,https://www.semanticscholar.org/paper/9527352b925f9fa36c40966ed755afd22301b0aa,46,9527352b925f9fa36c40966ed755afd22301b0aa,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Towards Provably Moral AI Agents in Bottom-up Learning Frameworks,"N. Shaw, Andreas Stöckel, Ryan W. Orr, T. Lidbetter, R. Cohen",2018,AAAI Spring Symposia,10.1145/3278721.3278728,https://www.semanticscholar.org/paper/2f9fe68ac92baacffac83178eb73680d7a2b4e3f,24,2f9fe68ac92baacffac83178eb73680d7a2b4e3f,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Measuring and Mitigating Unintended Bias in Text Classification,"Lucas Dixon, John Li, Jeffrey Scott Sorensen, Nithum Thain, Lucy Vasserman",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278729,https://www.semanticscholar.org/paper/44fc8d79fb8e0f8c6c6f680179b5803a789c6227,864,44fc8d79fb8e0f8c6c6f680179b5803a789c6227,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
"Value Alignment, Fair Play, and the Rights of Service Robots",Daniel Estrada,2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278730,https://www.semanticscholar.org/paper/bb4260a01044c3feb241ba3faacd5210b2ec90d5,5,bb4260a01044c3feb241ba3faacd5210b2ec90d5,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Regulating Artificial Intelligence: Proposal for a Global Solution,"O. J. Erdélyi, J. Goldsmith",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278731,https://www.semanticscholar.org/paper/cc88a1b55e50182cb7d4891f777befda0d9dc110,153,cc88a1b55e50182cb7d4891f777befda0d9dc110,"['Computer Science', 'Business']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
An Education Model of Reasonable and Good-Faith Effort for Autonomous Systems,"C. Grimm, W. Smart, Woodrow Hartzog",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278732,https://www.semanticscholar.org/paper/f5c96c24ddca2545339cf548632928c62989eb54,1,f5c96c24ddca2545339cf548632928c62989eb54,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Education', 'source': 's2-fos-model'}]"
Fairness in Relational Domains,"G. Farnadi, Behrouz Babaki, L. Getoor",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278733,https://www.semanticscholar.org/paper/14750ffbe40ca5bc2beafa3e3cade63fbdac1d7d,34,14750ffbe40ca5bc2beafa3e3cade63fbdac1d7d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Exploiting Moral Values to Choose the Right Norms,"Marc Serramia, M. López-Sánchez, J. Rodríguez-Aguilar, Javier Morales, M. Wooldridge, C. Ansótegui",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278735,https://www.semanticscholar.org/paper/39cab6d4479adfc8004f9297885d17b40af7198c,26,39cab6d4479adfc8004f9297885d17b40af7198c,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Software Malpractice in the Age of AI: A Guide for the Wary Tech Company,Danny Tobey,2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278737,https://www.semanticscholar.org/paper/920a3860c4312fe40ee3d0d957841c4fe536fc2c,2,920a3860c4312fe40ee3d0d957841c4fe536fc2c,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}]"
Opportunities and Challenges for Artificial Intelligence in India,"Shivaram Kalyanakrishnan, R. Panicker, S. Natarajan, Shreya Rao",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278738,https://www.semanticscholar.org/paper/26c3f4e7b64015e93c0a2cddc184fefdd9b4dd38,45,26c3f4e7b64015e93c0a2cddc184fefdd9b4dd38,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]"
Sociotechnical Systems and Ethics in the Large,"Amit K. Chopra, Munindar P. Singh",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278740,https://www.semanticscholar.org/paper/94692692dbb6b19c23e086449deee3e1b807511e,72,94692692dbb6b19c23e086449deee3e1b807511e,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]"
Companion Robots: the Hallucinatory Danger of Human-Robot Interactions,"Piercosma Bisconti, D. Nardi",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278741,https://www.semanticscholar.org/paper/c93595dda8c0e0842063455e3ee035c7146ea9fe,19,c93595dda8c0e0842063455e3ee035c7146ea9fe,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
A Framework for Grounding the Moral Status of Intelligent Machines,M. R. Scheessele,2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278743,https://www.semanticscholar.org/paper/4f13e0a1cb731862afbd218a19a886dbedc87613,4,4f13e0a1cb731862afbd218a19a886dbedc87613,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Towards Composable Bias Rating of AI Services,"B. Srivastava, F. Rossi",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278744,https://www.semanticscholar.org/paper/0b0ba939b8c2852a74cfa309c80cba8ac801b61e,26,0b0ba939b8c2852a74cfa309c80cba8ac801b61e,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Ethics by Design: Necessity or Curse?,"V. Dignum, M. Baldoni, C. Baroglio, M. Caon, R. Chatila, Louise Dennis, Gonzalo Génova, Galit Haim, Malte S. Kliess, M. López-Sánchez, Roberto Micalizio, J. Pavón, M. Slavkovik, Matthijs H. J. Smakman, Marlies van Steenbergen, Stefano Tedeschi, Leendert van der Torre, S. Villata, T. D. Wildt",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278745,https://www.semanticscholar.org/paper/3dc3bb660081833d20ec970b4d7f0237f90abd5c,87,3dc3bb660081833d20ec970b4d7f0237f90abd5c,"['Computer Science', 'Sociology']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Sociology', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Rethinking AI Strategy and Policy as Entangled Super Wicked Problems,Ross Gruetzemacher,2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278746,https://www.semanticscholar.org/paper/309127b71c9d36298740ea1711d2a7c59adf9ff7,13,309127b71c9d36298740ea1711d2a7c59adf9ff7,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Margins and Opportunity,Shiva Kaul,2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278748,https://www.semanticscholar.org/paper/1963df7d3976a43d176d2478b502297a6d345e01,1,1963df7d3976a43d176d2478b502297a6d345e01,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]"
Fairness in Deceased Organ Matching,"Nicholas Mattei, Abdallah Saffidine, T. Walsh",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278749,https://www.semanticscholar.org/paper/3c6670ecdfccd4633755c4b19d774453bfb77de3,15,3c6670ecdfccd4633755c4b19d774453bfb77de3,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]"
When Do People Want AI to Make Decisions?,"Max F. Kramer, Jana Schaich Borg, Vincent Conitzer, Walter Sinnott-Armstrong",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278752,https://www.semanticscholar.org/paper/ff8620e82598095f4c729feaa1add6f6bdbdc355,40,ff8620e82598095f4c729feaa1add6f6bdbdc355,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]"
Toward Non-Intuition-Based Machine and Artificial Intelligence Ethics: A Deontological Approach Based on Modal Logic,"J. Hooker, Tae Wan Kim",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278753,https://www.semanticscholar.org/paper/cd44787e20d05677377e577d4a0cdb3e4b33e5d9,48,cd44787e20d05677377e577d4a0cdb3e4b33e5d9,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
"Embodiment, Anthropomorphism, and Intellectual Property Rights for AI Creations","Deepak Somaya, L. Varshney",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278754,https://www.semanticscholar.org/paper/46839202575d260e68fad15a175487811355e45b,14,46839202575d260e68fad15a175487811355e45b,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Data Driven Techniques for Organizing Scientific Articles Relevant to Biomimicry,"Yuanshuo Zhao, Ioana Baldini, P. Sattigeri, Inkit Padhi, Yoong Keok Lee, Ethan Smith",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278755,https://www.semanticscholar.org/paper/7a171ebbfde98b2a8333a949c920265584f53488,5,7a171ebbfde98b2a8333a949c920265584f53488,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Utilizing Housing Resources for Homeless Youth Through the Lens of Multiple Multi-Dimensional Knapsacks,"Hau-yin. Chan, Long Tran-Thanh, Bryan Wilder, E. Rice, Phebe Vayanos, Milind Tambe",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278757,https://www.semanticscholar.org/paper/8b442f1d1715365b65a7d0f3cc5ea2470772de05,14,8b442f1d1715365b65a7d0f3cc5ea2470772de05,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]"
Partially Generative Neural Networks for Gang Crime Classification with Partial Information,"Sungyong Seo, Hau Chan, P. Brantingham, J. Leap, Phebe Vayanos, Milind Tambe, Yan Liu",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278758,https://www.semanticscholar.org/paper/3458a34aa22fbf77b363077272a97297164a65d6,16,3458a34aa22fbf77b363077272a97297164a65d6,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Designing Non-greedy Reinforcement Learning Agents with Diminishing Reward Shaping,"Fan-Yun Sun, Yen-Yu Chang, Yueh-Hua Wu, Shou-De Lin",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278759,https://www.semanticscholar.org/paper/c88d3016e0dc689a5aa965716cf348cb4e248c01,15,c88d3016e0dc689a5aa965716cf348cb4e248c01,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Jill Watson Doesn't Care if You're Pregnant: Grounding AI Ethics in Empirical Studies,"B. Eicher, Lalith Polepeddi, Ashok K. Goel",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278760,https://www.semanticscholar.org/paper/3b5773dd446210c80edc2c7a81e7283ac7f931cc,46,3b5773dd446210c80edc2c7a81e7283ac7f931cc,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Purple Feed: Identifying High Consensus News Posts on Social Media,"Mahmoudreza Babaei, Juhi Kulshrestha, Abhijnan Chakraborty, Fabrício Benevenuto, K. Gummadi, Adrian Weller",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278761,https://www.semanticscholar.org/paper/9b23a0ce202e9e2ab7ccae4c9892143e21eba221,29,9b23a0ce202e9e2ab7ccae4c9892143e21eba221,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Regulating Autonomous Vehicles: A Policy Proposal,"A. London, D. Danks",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278763,https://www.semanticscholar.org/paper/a03bedd8f26300741a4836fa87e6d405f4ce8f2e,15,a03bedd8f26300741a4836fa87e6d405f4ce8f2e,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Meritocratic Fairness for Infinite and Contextual Bandits,"Matthew Joseph, Michael Kearns, Jamie Morgenstern, Seth Neel, Aaron Roth",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278764,https://www.semanticscholar.org/paper/f91c7ab225ecc2d53ff5324c63d03a476fce7bdc,49,f91c7ab225ecc2d53ff5324c63d03a476fce7bdc,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]"
"Towards an ""Ethics by Design"" Methodology for AI Research Projects","Mathieu d’Aquin, Pinelopi Troullinou, N. O'Connor, Aindrias Cullen, G. Faller, Louise Holden",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278765,https://www.semanticscholar.org/paper/f9de2453c86fdf76d5f10c2e5dc20d93f286c66d,65,f9de2453c86fdf76d5f10c2e5dc20d93f286c66d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Regulating for 'Normal AI Accidents': Operational Lessons for the Responsible Governance of Artificial Intelligence Deployment,M. Maas,2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278766,https://www.semanticscholar.org/paper/83d1769a9aee035698b13273130841af03e66a87,27,83d1769a9aee035698b13273130841af03e66a87,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
"Cake, Death, and Trolleys: Dilemmas as benchmarks of ethical decision-making","Edvard P. Bjørgen, Simen Madsen, Therese S. Bjørknes, Fredrik V. Heimsæter, Robin Håvik, Morten Linderud, Per-Niklas Longberg, Louise Dennis, M. Slavkovik",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278767,https://www.semanticscholar.org/paper/9647b7976ed875f53fe850e00bb05f84075f2954,24,9647b7976ed875f53fe850e00bb05f84075f2954,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
An Autonomous Architecture that Protects the Right to Privacy,Alan R. Wagner,2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278768,https://www.semanticscholar.org/paper/fbf8fb5095d4a92ae45810acc4dcbec334b7f467,5,fbf8fb5095d4a92ae45810acc4dcbec334b7f467,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}]"
On the Distinction between Implicit and Explicit Ethical Agency,"Sjur K. Dyrkolbotn, Truls Pedersen, M. Slavkovik",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278769,https://www.semanticscholar.org/paper/374beb5fa838363907214b7d388d5ff767426315,16,374beb5fa838363907214b7d388d5ff767426315,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}]"
A Computational Model of Commonsense Moral Decision Making,"Richard Kim, Max Kleiman-Weiner, Andrés Abeliuk, E. Awad, Sohan Dsouza, J. Tenenbaum, Iyad Rahwan",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278770,https://www.semanticscholar.org/paper/3f2a510235c4bb9ba2618740518315365406a410,62,3f2a510235c4bb9ba2618740518315365406a410,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Impacts on Trust of Healthcare AI,"Emily LaRosa, D. Danks",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278771,https://www.semanticscholar.org/paper/41326f8a19b7a20983d4aa092fb0318dc683404d,78,41326f8a19b7a20983d4aa092fb0318dc683404d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Socially-Aware Navigation Using Topological Maps and Social Norm Learning,"Collin Johnson, B. Kuipers",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278772,https://www.semanticscholar.org/paper/caa8c6a1edf31aa22137b1df16c13b8d70fb77a6,28,caa8c6a1edf31aa22137b1df16c13b8d70fb77a6,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}]"
"Norms, Rewards, and the Intentional Stance: Comparing Machine Learning Approaches to Ethical Training","Daniel Kasenberg, Thomas Arnold, Matthias Scheutz",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278774,https://www.semanticscholar.org/paper/e4b84a4edfffa8a918b6839b9566d07fa03f218f,23,e4b84a4edfffa8a918b6839b9566d07fa03f218f,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
