policy_document,abstract_title,alignment_score,rank
gpai-code-of-practice-version-3.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.060143828232366,3
gpai-code-of-practice-version-3.pdf,A Multidimensional Approach to Ethical AI Auditing,16.0520015487301,4
gpai-code-of-practice-version-3.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.03889812954578,5
new-zealand-strategy-for-ai-investing-with-confidence.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.49741200545323,1
new-zealand-strategy-for-ai-investing-with-confidence.pdf,Algorithmic Recourse,16.47854372331924,2
new-zealand-strategy-for-ai-investing-with-confidence.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.396424810291823,3
new-zealand-strategy-for-ai-investing-with-confidence.pdf,A Multidimensional Approach to Ethical AI Auditing,16.388016406515085,4
new-zealand-strategy-for-ai-investing-with-confidence.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.374521778524635,5
nist-ai-risk-management-framework.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.674359697078582,1
nist-ai-risk-management-framework.pdf,Algorithmic Recourse,16.654673464562503,2
nist-ai-risk-management-framework.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.57234712889618,3
nist-ai-risk-management-framework.pdf,A Multidimensional Approach to Ethical AI Auditing,16.56263028431635,4
nist-ai-risk-management-framework.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.548780595710213,5
uk-pro-innovation-approach-to-ai-regulation.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.553829580840414,1
uk-pro-innovation-approach-to-ai-regulation.pdf,Algorithmic Recourse,16.53492003369747,2
uk-pro-innovation-approach-to-ai-regulation.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.45225693908016,3
uk-pro-innovation-approach-to-ai-regulation.pdf,A Multidimensional Approach to Ethical AI Auditing,16.443834060159645,4
uk-pro-innovation-approach-to-ai-regulation.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.429736206860568,5
unesco-recommendation-on-ethics-of-ai.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.675871328488917,1
unesco-recommendation-on-ethics-of-ai.pdf,Algorithmic Recourse,16.655994613408712,2
unesco-recommendation-on-ethics-of-ai.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.573268385901024,3
unesco-recommendation-on-ethics-of-ai.pdf,A Multidimensional Approach to Ethical AI Auditing,16.564509718343185,4
unesco-recommendation-on-ethics-of-ai.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.551508845713958,5
us-america-ai-action-plan.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.477029282952998,1
us-america-ai-action-plan.pdf,Algorithmic Recourse,16.456715183799812,2
us-america-ai-action-plan.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.37494071358623,3
us-america-ai-action-plan.pdf,A Multidimensional Approach to Ethical AI Auditing,16.36627602792746,4
us-america-ai-action-plan.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.35353996024927,5
us-blueprint-for-ai-bill-of-rights.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.305870348153615,1
us-blueprint-for-ai-bill-of-rights.pdf,Algorithmic Recourse,16.288739935699024,2
us-blueprint-for-ai-bill-of-rights.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.20537122501655,3
us-blueprint-for-ai-bill-of-rights.pdf,A Multidimensional Approach to Ethical AI Auditing,16.198186753674992,4
us-blueprint-for-ai-bill-of-rights.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.184800638656686,5
us-eo-14110.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.47835300902287,1
us-eo-14110.pdf,Algorithmic Recourse,16.45931164751169,2
us-eo-14110.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.375399840587914,3
us-eo-14110.pdf,A Multidimensional Approach to Ethical AI Auditing,16.36869219515398,4
us-eo-14110.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.355320837745175,5
us-eo-14141.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.336353283343307,1
us-eo-14141.pdf,Algorithmic Recourse,16.31622791740277,2
us-eo-14141.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.235572076164804,3
us-eo-14141.pdf,A Multidimensional Approach to Ethical AI Auditing,16.227297715200944,4
us-eo-14141.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.21444240358106,5
