policy,keyword,score,chunk
eu-ai-act.pdf,eco-friendly artificial intelligence,0.7499996423721313,"in so far as their use is permitted under relevant Union or (a) AI systems intended to be used by or on behalf of competent public authorities or by Union institutions, bodies, offices or agencies as polygraphs or similar tools; (b) AI systems intended to be used by or on behalf of competent public "
eu-ai-act.pdf,artificial intelligence accountability mechanisms,0.7499944567680359,"laying down effective, proportionate and dissuasive penalties for their infringement, and to respect the ne bis in idem principle. In order to strengthen and harmonise administrative penalties for infringement of this Regulation, the upper limits for setting the administrative fines for certain spec"
eu-guidelines-on-definition-of-ai-systems.pdf,green artificial intelligence,0.7499635219573975,"formatting) and that the user questions are limited to the domain in which the system is intended to operate. This intended purpose is fulfilled not only through the system's internal operation to achieve its objectives, but also through other factors, such as the integration of the system into a br"
eu-guidelines-on-definition-of-ai-systems.pdf,artificial intelligence energy consumption,0.7498635649681091,"inference does not contradict the ISO/IEC standard, which defines inference as reasoning by which conclusions are derived from known premises and this standard includes an AI-specific note stating: [i]n AI, a premise is either a fact, a rule, a model, a"
us-eo-14141.pdf,artificial intelligence compliance,0.7499816417694092,regarding best practices to improve the transparency and efficiency of such
us-eo-14141.pdf,artificial intelligence equitable,0.7499688863754272,"law, the Secretary of Defense, in consultation with the Secretary of Commerce, the Secretary of Energy, the Secretary of Homeland Security, the Director of National Intelligence, and the Assistant to the President for National Security Affairs, shall issue regulations that prescribe heightened safeg"
us-blueprint-for-ai-bill-of-rights.pdf,artificial intelligence equality,0.7499992251396179,"Protect the public from harm in a proactive and ongoing manner Consultation. The public should be consulted in the design, implementation, deployment, acquisition, and maintenance phases of automated system development, with emphasis on early-stage consultation before a system is introduced or a lar"
us-blueprint-for-ai-bill-of-rights.pdf,artificial intelligence confidential,0.7499818801879883,"Civil rights, civil liberties, and privacy, including freedom of speech, voting, and protections from discrimination, excessive punishment, unlawful surveillance, and violations of privacy and other freedoms in both Equal opportunities, including equitable access to education, housing, credit, emplo"
china-interim-measures-for-management-of-generative-ai.pdf,artificial intelligence green computing,0.7498310804367065,"Providersshall,inaccordancewiththelaw,timelyacceptandhandlerequestsfromindividuals,suchasthose foraccessing,makingcopiesof,amending,supplementing,ordeletingtheirpersonalinformation. Article12Providersshalllabelimages,videos,andothergeneratedcontentinaccordancewiththe AdministrativeProvisionsonDeepSy"
china-interim-measures-for-management-of-generative-ai.pdf,artificial intelligence equality,0.7480083703994751,"Promulgator thePeople'sRepublicofChina,the"
gpai-code-of-practice-version-3.pdf,artificial intelligence energy consumption,0.7499887943267822,Measure does not apply to general-purpose AI models that are released under a free and opensource licence.
gpai-code-of-practice-version-3.pdf,artificial intelligence transparency,0.7499842643737793,"Signatories shall establish organisational, contractual, technical, or other methods most suitable for the specific integration, release and distribution strategy, and use of their GPAISR to gather relevant post-market information, whilst ensuring that the information is treated in accordance with S"
